code;name;province;population;pop_men;pop_women;pop_0_14;pop_15_24;pop_25_44;pop_45_64;pop_65plus;origin_native;origin_west;origin_non_west
0289;Wageningen;Gelderland;37430;18015;19410;13;21;28;23;15;75;13;12
0293;Westervoort;Gelderland;15135;7450;7685;16;13;23;34;15;82;10;8
0294;Winterswijk;Gelderland;28880;14395;14485;17;11;22;30;21;86;9;5
0296;Wijchen;Gelderland;41040;20305;20740;18;11;23;30;17;88;8;4
0297;Zaltbommel;Gelderland;27180;13630;13550;20;12;24;27;16;90;5;5
0299;Zevenaar;Gelderland;32280;15825;16455;16;10;23;29;21;86;10;4
0301;Zutphen;Gelderland;47165;23040;24125;18;11;24;30;18;84;9;7
0302;Nunspeet;Gelderland;26680;13155;13520;19;13;23;27;18;95;3;2
0303;Dronten;Flevoland;40410;20460;19950;19;14;24;28;15;85;7;8
0304;Neerijnen;Gelderland;12020;6060;5955;20;11;24;28;16;94;4;2
0307;Amersfoort;Utrecht;150895;74175;76720;20;11;29;27;13;76;9;15
0308;Baarn;Utrecht;24315;11715;12600;16;10;21;31;22;84;9;7
0310;De Bilt;Utrecht;42035;20010;22020;17;11;19;30;23;84;10;6
0312;Bunnik;Utrecht;14625;7230;7390;18;11;20;30;21;88;8;4
0313;Bunschoten;Utrecht;20490;10260;10230;21;13;27;24;15;92;4;4
0317;Eemnes;Utrecht;8780;4340;4440;19;11;21;32;18;87;8;5
0321;Houten;Utrecht;48420;23915;24505;21;12;25;31;11;86;7;7
0327;Leusden;Utrecht;28995;14250;14745;18;11;22;31;18;88;8;4
0331;Lopik;Utrecht;14000;7110;6885;20;13;23;29;15;92;4;4
0335;Montfoort;Utrecht;13640;6835;6805;20;12;23;28;17;91;5;4
0339;Renswoude;Utrecht;4925;2460;2465;23;13;26;24;14;95;3;2
0340;Rhenen;Utrecht;19115;9470;9645;19;11;23;27;19;90;5;5
0342;Soest;Utrecht;45490;22155;23335;17;11;22;29;21;80;9;11
0344;Utrecht;Utrecht;328165;159305;168860;17;16;36;20;10;67;11;22
0345;Veenendaal;Utrecht;63250;31050;32200;20;12;26;26;16;83;6;11
0351;Woudenberg;Utrecht;12420;6225;6195;21;12;23;26;18;92;4;4
0352;Wijk bij Duurstede;Utrecht;23040;11365;11675;18;12;22;33;15;90;6;4
0353;IJsselstein;Utrecht;34275;16720;17555;20;12;26;28;14;81;7;12
0355;Zeist;Utrecht;61250;29635;31615;18;12;23;28;20;77;10;13
