PC4;X;Y
2011;103866.219453073;488581.240651508
2012;103305.757614245;486919.33776518
2013;103161.732852118;488615.839410593
2014;102425.572932541;487786.145461995
2015;102029.205591257;488345.039685792
2019;103791.037896911;488378.816445174
2021;104240.988999829;489676.087364384
2022;104871.254965494;490594.976157454
2023;103764.018258947;490033.440469298
2024;104068.908670755;491180.769329245
2025;104978.642161129;491952.802622419
2026;105255.990343275;492578.940475634
2031;105671.289659806;489512.122481165
2032;104901.764534411;488030.713511765
2033;105322.484869839;487813.968364839
2034;104372.018094444;485775.626677399
2035;105225.816937573;486481.718584344
2036;104944.792056867;485009.162559277
2037;105573.71819449;485576.448026531
2041;97903.8157912349;488962.852890239
2042;97431.0659502354;486007.922757221
2051;100566.444713588;490153.866561288
2061;102333.733090347;492157.686489189
2063;106316.840048913;492055.731838406
2064;108335.240722401;491480.147059653
2065;107668.037414426;489283.169576394
2071;103123.087395177;494369.460374705
2082;103552.004626645;492838.270045907
2101;102617.44889427;485230.239409057
2102;103508.525609677;485056.555041129
2103;103017.984848419;484044.472122141
2104;102035.237783301;483160.056926214
2105;101713.307466808;484437.592321702
2106;101761.83260636;485434.212231802
2111;100686.935740586;486173.256706555
2114;97852.5381634907;484282.750186172
2116;99311.3801865562;486898.932481768
2121;101263.48575922;481580.69286773
2131;106844.566884976;480321.245448708
2132;108663.942044434;478463.844521185
2133;105286.692190999;479901.37250279
2134;104543.589009793;480369.860983724
2135;105555.434830278;479034.360376931
2136;102968.405088592;481122.682045874
2141;107167.0611727;485952.868332493
2142;104619.65574022;483122.084586777
2143;109621.28720606;485425.629055757
2144;101175.057927016;478239.503825
2151;101849.471373668;475555.86469571
2152;103336.642474915;477121.708814576
2153;104354.554774729;474316.182884496
2154;106506.792498453;472891.722621134
2155;105579.571684357;472097.142220112
2156;104357.41493129;470957.132571613
2157;101399.408556932;471481.728581711
2158;99399.3747195376;471259.90004916
2159;99361.9679824241;469792.239158586
2161;98024.7188159974;474322.309480178
2162;98432.4090636761;473404.359371554
2163;98494.6308444444;475666.597957778
2165;99988.7998927271;475666.491384849
2171;95275.3741112509;470595.982709178
2172;96328.1310164595;470866.508883954
2181;100592.525700409;479618.90742643
2182;99711.3071573184;479005.754218883
2191;96595.4923703508;479762.090543158
2201;90403.1010252444;471247.674335644
2202;90373.6979895945;473551.739390946
2203;91306.4522770161;472802.991705645
2204;93512.9434788441;477368.02506572
2211;94093.3120005726;475844.449827835
2212;94010.8757333334;477022.461854546
2215;94271.4747031468;471375.420235198
2216;93741.7280723577;471761.846645529
2221;88924.553091653;469495.365447136
2222;89786.1154993242;468780.241818919
2223;88306.0654205946;466617.8921087
2224;88074.245823611;467977.194299242
2225;87459.2388809443;468265.852212647
2231;90661.5444442193;468286.319486889
2232;90793.8985024097;467810.143951807
2235;89584.9338280915;465386.843282748
2241;87997.1294805175;462820.695002589
